,Watershed_ID,Area,State(s),District(s),No. of Village(s)
0,4D7G4a1,826.049,MAHARASHTRA,PUNE,PUNE
1,4D7G4a2,1295.76,MAHARASHTRA,PUNE,PUNE
2,4D7G4a3,1189.39,MAHARASHTRA,PUNE,PUNE
3,4D7G4a4,812.997,MAHARASHTRA,PUNE,PUNE
4,4D7G4a5,647.413,MAHARASHTRA,PUNE,PUNE
5,4D7G4a6,1061.06,MAHARASHTRA,PUNE,PUNE
6,4D7G4a7,968.93,MAHARASHTRA,PUNE,PUNE
7,4D7G4a8,1402.88,MAHARASHTRA,PUNE,PUNE
8,4D7G4b1,956.916,MAHARASHTRA,PUNE,PUNE
9,4D7G4b2,1196.99,MAHARASHTRA,PUNE,PUNE
10,4D7G4b3,973.836,MAHARASHTRA,PUNE,PUNE
11,4D7G4b4,1043.88,MAHARASHTRA,PUNE,PUNE
12,4D7G4b5,1247.24,MAHARASHTRA,PUNE,PUNE
13,4D7G4b6,1124.08,MAHARASHTRA,PUNE,PUNE
14,4D7G4b7,1357.21,MAHARASHTRA,PUNE,PUNE
15,4D7G4c1,809.103,MAHARASHTRA,PUNE,PUNE
16,4D7G4c2,1167.28,MAHARASHTRA,PUNE,PUNE
17,4D7G4c3,1186.78,MAHARASHTRA,PUNE,PUNE
18,4D7G4c4,1161.37,MAHARASHTRA,PUNE,PUNE
19,4D7G4c5,1232.09,MAHARASHTRA,PUNE,PUNE
20,4D7G4c6,932.643,MAHARASHTRA,PUNE,PUNE
21,4D7G4d1,687.63,MAHARASHTRA,PUNE,PUNE
22,4D7G4d2,1055.1,MAHARASHTRA,PUNE,PUNE
23,4D7G4d3,1274.7,MAHARASHTRA,PUNE,PUNE
24,4D7G4d4,620.534,MAHARASHTRA,PUNE,PUNE
25,4D7G4d5,1220.15,MAHARASHTRA,PUNE,PUNE
26,4D7G4d6,767.445,MAHARASHTRA,PUNE,PUNE
27,4D7G4d7,1056.63,MAHARASHTRA,PUNE,PUNE
28,4D7G4f1,581.113,MAHARASHTRA,PUNE,PUNE
29,4D7G4f2,1171.28,MAHARASHTRA,PUNE,PUNE
30,4D7G4f3,1112.19,MAHARASHTRA,PUNE,PUNE
31,4D7G4f4,990.73,MAHARASHTRA,PUNE,PUNE
32,4D7G4f5,720.623,MAHARASHTRA,PUNE,PUNE
33,4D7G4f6,1048.52,MAHARASHTRA,PUNE,PUNE
34,4D7G4f7,897.408,MAHARASHTRA,PUNE,PUNE
35,4D7G4g1,556.042,MAHARASHTRA,PUNE,PUNE
36,4D7G4g2,673.501,MAHARASHTRA,PUNE,PUNE
37,4D7G4g3,814.483,MAHARASHTRA,PUNE,PUNE
38,4D7G4g4,777.095,MAHARASHTRA,PUNE,PUNE
39,4D7G4g5,869.334,MAHARASHTRA,PUNE,PUNE
40,4D7G4g6,1159.92,MAHARASHTRA,PUNE,PUNE
41,4D7G4h1,698.22,MAHARASHTRA,PUNE,PUNE
42,4D7G4h2,895.79,MAHARASHTRA,PUNE,PUNE
43,4D7G4h3,884.289,MAHARASHTRA,PUNE,PUNE
44,4D7G4h4,1164.53,MAHARASHTRA,PUNE,PUNE
45,4D7G4h5,491.814,MAHARASHTRA,PUNE,PUNE
46,4D7G4h6,396.621,MAHARASHTRA,PUNE,PUNE
47,4D7G4h7,1045.39,MAHARASHTRA,PUNE,PUNE
48,4D7G4j1,1159.06,MAHARASHTRA,PUNE,PUNE
49,4D7G4j2,1706.27,MAHARASHTRA,PUNE,PUNE
50,4D7G4j3,719.181,MAHARASHTRA,PUNE,PUNE
51,4D7G4j4,853.674,MAHARASHTRA,PUNE,PUNE
52,4D7G4j5,685.802,MAHARASHTRA,PUNE,PUNE
53,4D7G4j6,1095.26,MAHARASHTRA,PUNE,PUNE
54,4D7G4k1,782.258,MAHARASHTRA,PUNE,PUNE
55,4D7G4k2,889.64,MAHARASHTRA,PUNE,PUNE
56,4D7G4k3,985.154,MAHARASHTRA,PUNE,PUNE
57,4D7G4k4,675.94,MAHARASHTRA,PUNE,PUNE
58,4D7G4k5,1095.62,MAHARASHTRA,PUNE,PUNE
59,4D7G4m1,1015.75,MAHARASHTRA,PUNE,PUNE
60,4D7G4m2,1451.47,MAHARASHTRA,PUNE,PUNE
61,4D7G4m3,1043.15,MAHARASHTRA,PUNE,PUNE
62,4D7G4m4,897.979,MAHARASHTRA,PUNE,PUNE
63,4D7G4m5,1090.16,MAHARASHTRA,"PUNE,THANE","PUNE,THANE"
64,4D7G4n1,912.327,MAHARASHTRA,PUNE,PUNE
65,4D7G4n2,1099.69,MAHARASHTRA,PUNE,PUNE
66,4D7G4n3,922.921,MAHARASHTRA,PUNE,PUNE
67,4D7G4n4,1144.21,MAHARASHTRA,PUNE,PUNE
68,4D7G4p1,838.627,MAHARASHTRA,PUNE,PUNE
69,4D7G4p2,674.863,MAHARASHTRA,PUNE,PUNE
70,4D7G4p3,871.818,MAHARASHTRA,PUNE,PUNE
71,4D7G4q1,739.69,MAHARASHTRA,PUNE,PUNE
72,4D7G4q2,639.192,MAHARASHTRA,PUNE,PUNE
73,4D7G4q3,739.103,MAHARASHTRA,PUNE,PUNE
74,4D7G4q4,885.009,MAHARASHTRA,PUNE,PUNE
75,4D7G4q5,908.038,MAHARASHTRA,PUNE,PUNE
76,4D7G4q6,716.788,MAHARASHTRA,PUNE,PUNE
77,4D7G4r1,728.164,MAHARASHTRA,PUNE,PUNE
78,4D7G4r2,909.414,MAHARASHTRA,PUNE,PUNE
79,4D7G4r3,830.301,MAHARASHTRA,"PUNE,THANE","PUNE,THANE"
80,4D7G4r4,982.81,MAHARASHTRA,PUNE,PUNE
